WKT,full_id,osm_id,osm_type,highway,lanes,maxspeed,name,oneway,old_name,surface,maxspeed_g,official_n,source_max,alt_name,nat_name
"MULTILINESTRING ((121.0715472 14.6647107,121.0712161 14.6648193,121.0711286 14.6648507,121.0710763 14.6648719,121.0710235 14.6648943,121.07095 14.6649267,121.0709 14.6649496,121.0708549 14.6649686,121.0708175 14.664988,121.0707853 14.6650055,121.0707569 14.6650209,121.0707226 14.6650429,121.0706952 14.6650598,121.0706605 14.6650835,121.0706164 14.6651125,121.0705886 14.6651349,121.0705615 14.6651562,121.0705364 14.6651742,121.0705065 14.6652012,121.0704811 14.6652242,121.0704455 14.6652566,121.070405 14.6652946,121.0703245 14.665373,121.0702677 14.6654338,121.0702299 14.6654763,121.070201 14.6655132,121.0701702 14.665552,121.0701262 14.6656107,121.0700998 14.6656477,121.0700695 14.6656964,121.0700425 14.6657428,121.0700048 14.6658121,121.0696688 14.6664683))",w72508164,"72508164",way,trunk,"2","60",Luzon Overpass,yes,,,"50",,,,
"MULTILINESTRING ((121.0695962 14.6664359,121.0699197 14.6658065,121.069962 14.6657254,121.0700018 14.6656593,121.0700265 14.6656209,121.0700467 14.6655895,121.0700982 14.6655135,121.0701369 14.6654635,121.0701819 14.6654107,121.0702666 14.6653216,121.0702863 14.6653029,121.0703466 14.6652441,121.070492 14.6651189,121.0705124 14.6651024,121.0705408 14.6650792,121.0705729 14.6650541,121.0706105 14.6650295,121.0706374 14.6650115,121.0706718 14.6649892,121.0707111 14.6649663,121.0707501 14.6649452,121.0707865 14.664925,121.0708239 14.6649059,121.0708705 14.6648832,121.0709191 14.664861,121.0709745 14.664835,121.0710338 14.6648091,121.0710867 14.6647876,121.0711542 14.6647632,121.0712056 14.6647456,121.0715261 14.6646432))",w72508165,"72508165",way,trunk,"2","60",Luzon Overpass,yes,,,,,MMDA,,
"MULTILINESTRING ((121.0696688 14.6664683,121.068949 14.6678646,121.0688576 14.6680523,121.0687904 14.66822,121.0686735 14.6685405,121.06866 14.66861,121.0686636 14.6689703,121.0686818 14.669251))",w72508166,"72508166",way,trunk,"2","60",Luzon Avenue,yes,,,"50",,,,
"MULTILINESTRING ((121.0800132 14.5899017,121.0800005 14.590184,121.0799777 14.5908594,121.0799534 14.5913181,121.0799436 14.5915543))",w72656245,"72656245",way,trunk,"3","60",E. Rodriguez Jr. Avenue,yes,,asphalt,"50",,,,
"MULTILINESTRING ((121.0798301 14.589727,121.08002 14.5897502))",w72656246,"72656246",way,trunk,"3","60",Ortigas Avenue,yes,,,,,MMDA,,
"MULTILINESTRING ((121.0797856 14.5893209,121.0797347 14.5887681,121.0796949 14.5884536,121.0796425 14.5882104,121.0795688 14.5878842,121.0794653 14.5875382,121.0793477 14.5872059,121.0793047 14.5870638,121.0792611 14.5868133))",w72656247,"72656247",way,trunk,"2","60",E. Rodriguez Jr. Avenue,yes,,asphalt,"50",,,,
"MULTILINESTRING ((121.086182 14.6223266,121.0863799 14.6221209,121.0871901 14.6213018,121.0881556 14.6203201,121.0885785 14.6198683,121.0889964 14.6194495,121.0891804 14.619291,121.0893907 14.6191256,121.0895574 14.6190142,121.0897271 14.6189111,121.0900877 14.6187346,121.0902824 14.6186634,121.090504 14.6185974,121.0905809 14.6185782,121.0908617 14.6185222))",w75366907,"75366907",way,trunk,"5",,Marcos Highway,yes,,,,,,Marikina-Infanta Road,
"MULTILINESTRING ((121.0817997 14.6270146,121.0814158 14.6274579))",w75366911,"75366911",way,trunk,"2",,Marcos Highway,yes,,asphalt,,,,Marikina-Infanta Road,
"MULTILINESTRING ((120.9990606 14.615459,120.9987755 14.6152338))",w82698617,"82698617",way,trunk,"4","60",España Boulevard,yes,,asphalt,,,,,
"MULTILINESTRING ((121.0243544 14.6921318,121.0249403 14.6920905,121.0255384 14.6920472,121.0256438 14.6920346,121.0257215 14.6920181,121.0259813 14.691937,121.0261047 14.6918867,121.0262551 14.6918175))",w83145359,"83145359",way,trunk,"4","60",Mindanao Avenue,yes,,,"50",,,,
